,loss,mae,mse,val_loss,val_mae,val_mse,epoch
0,0.08539140969514847,0.8105252737551928,1.0791787705125289,0.04921989515423775,0.6242068000137806,0.6220422654566355,0
1,0.04095623642206192,0.5785814617574215,0.5176059398079291,0.033856719732284546,0.5135362563282252,0.4278820703946054,1
2,0.031671494245529175,0.5010071457177401,0.40026513606235387,0.028756212443113327,0.4334616380184889,0.3634217082212214,2
3,0.026183491572737694,0.4377243993803859,0.3309076210835483,0.02257363125681877,0.41786495704203847,0.2852861161644571,3
4,0.023555707186460495,0.4185240814089775,0.2976976163151674,0.02853969670832157,0.43811809938400986,0.3606854004921857,4
5,0.020371796563267708,0.3776534441113472,0.2574592742614914,0.01592029631137848,0.3551246076822281,0.20120110279060902,5
6,0.017377333715558052,0.34884871602058415,0.21961517793056556,0.018639780580997467,0.3689779795333743,0.23557001297716051,6
7,0.011897945776581764,0.2803760638833046,0.15036653617308476,0.01083484198898077,0.2681713637709618,0.13693099215771073,7
8,0.010303053073585033,0.2492317555099726,0.1302102423202945,0.010283694602549076,0.2533110956847668,0.1299655894793803,8
9,0.008937973529100418,0.23409003853797913,0.11295833291010932,0.007740821689367294,0.2146339506469667,0.0978286980307661,9
10,0.00892714038491249,0.22969020791351796,0.11282142336303369,0.012952347286045551,0.31144954651594164,0.16369207703964786,10
11,0.0074641527608036995,0.20315641952678562,0.09433214919485618,0.007203082554042339,0.22120597813278436,0.09103273739505094,11
12,0.00674459571018815,0.2002691978774965,0.08523836331521162,0.005423079710453749,0.18424275510013105,0.06853701695770724,12
13,0.005785372573882341,0.182258389480412,0.07311568322303938,0.007954753935337067,0.22454472050070765,0.10053237910363824,13
14,0.006605395115911961,0.20256141973659397,0.08347914860977326,0.005585218779742718,0.20058939697220923,0.07058613456885797,14
15,0.004811583086848259,0.16601401319727302,0.06080890734116547,0.004980421159416437,0.18504043199121953,0.06294268712323392,15
16,0.004345372319221497,0.15528168858960273,0.054916924004629254,0.004366215784102678,0.17088558722287417,0.05518034423488426,16
17,0.004537693690508604,0.16134845361113548,0.057347486302990004,0.004634911194443703,0.17277652060613036,0.05857612354815938,17
18,0.0037640160880982876,0.1388258680701256,0.047569729421788366,0.0026559510733932257,0.11058341531082988,0.03356597606432042,18
19,0.0034553122241050005,0.14106850661337375,0.0436683222710446,0.003915114793926477,0.16261346384882927,0.049479318643512675,19
20,0.003375585423782468,0.1350298705883324,0.04266073297539843,0.003181302919983864,0.1339052537083626,0.04020538583532907,20
21,0.003586804261431098,0.13378153380006552,0.045330121926072754,0.004337690304964781,0.1834154924377799,0.05481983851640253,21
22,0.003060625633224845,0.13192072916775943,0.03868026326833642,0.003919823560863733,0.15861587522551418,0.04953882815778488,22
23,0.0027116122655570507,0.120111463945359,0.034269423602416645,0.002626813482493162,0.13232653364539146,0.03319773446208565,23
24,0.0019111287547275424,0.09820379627868533,0.02415289298046555,0.002159646712243557,0.10538253734819591,0.02729366914050188,24
25,0.002254708204418421,0.11039731233380735,0.028495058655145115,0.002815067069604993,0.1326579896360636,0.03557688800234464,25
26,0.002065901877358556,0.11116253625601531,0.026108919573604363,0.002184988697990775,0.10767249458469451,0.027613941789924868,26
27,0.0020468109287321568,0.10647594613954425,0.025867647687590218,0.003447307739406824,0.13637581128627063,0.04356716139331693,27
28,0.00276443874463439,0.1282450480386615,0.03493704596565804,0.0050983489491045475,0.18580980772152544,0.064433061477507,28
